Mánesova Praha - Vinohrady,2+1,65 ,28800,5800
Příbram - Březové Hory Středočeský kraj,2+1,61 ,12000,5000
Plaská Praha - Malá Strana,2+1,100 ,34650,11550
Rumunská Praha - Vinohrady,3+kk,82 ,36450,12150
Řásnovka Praha - Staré Město,2+1,48 ,46530,15510
České Budějovice 3 Jihočeský kraj,2+kk,41 ,11000,2500
Legerova Praha - Vinohrady,1+1,30 ,29925,9975
U Borského parku Plzeň Plzeňský kraj,3+kk,78 ,29250,9750
Milady Horákové Brno - Zábrdovice Jihomoravský kraj,1+1,35 ,15236,5079
Francouzská Praha - Vinohrady,3+1,120 ,63750,21250
Dlouhá Praha - Staré Město,3+kk,62 ,63413,21137
Jana Masaryka Praha - Vinohrady,2+1,82 ,43500,14500
Třinec - Lyžbice Moravskoslezský kraj,3+kk,72 ,13000,4500
Polská Praha - Vinohrady,1+kk,21 ,18000,6000
Elišky Krásnohorské Praha - Josefov,2+kk,47 ,56250,18750
Vyškov Jihomoravský kraj,2+1,55 ,9900,4000
Praha - Smíchov,1+kk,37 ,14000,3300
Přerušená Ostrava - Vítkovice Moravskoslezský kraj,3+1,67 ,7820,0
Slovenského národního povstání Havířov - Šumbark Moravskoslezský kraj,2+1,63 ,6070,0
Bruzovská Frýdek-Místek - Frýdek Moravskoslezský kraj,3+1,77 ,10810,0
náměstí Jana Nerudy Ostrava - Poruba Moravskoslezský kraj,1+kk,25 ,5540,0
tř. Osvobození Karviná-město Moravskoslezský kraj,3+1,71 ,7220,0
Ruská Karviná-město Moravskoslezský kraj,2+1,54 ,6580,0
Sýkorova Havířov - Šumbark Moravskoslezský kraj,1+1,28 ,4150,0
Dlouhá třída Havířov-město Moravskoslezský kraj,2+1,50 ,6600,0
Boženy Němcové Hlučín Moravskoslezský kraj,2+1,49 ,6950,0
Gorkého Havířov-město Moravskoslezský kraj,1+kk,29 ,5500,0
